1900	46.0
1901	48.0
1902	49.0
1903	35.0
1904	46.0
1905	35.0
1906	32.0
1907	49.0
1908	44.0
1909	38.0
1910	47.0
1911	48.0
1912	44.0
1913	43.0
1914	49.0
1915	49.0
1916	18.0
1917	35.0
1918	49.0
1919	42.0
1920	47.0
1921	47.0
1922	45.0
1923	41.0
1924	49.0
1925	48.0
1926	49.0
1927	47.0
1928	48.0
1929	35.0
1930	48.0
1931	37.0
1932	33.0
1933	43.0
1934	47.0
1935	40.0
1936	48.0
1937	44.0
1938	43.0
1939	48.0
1940	49.0
1941	49.0
1942	24.0
1943	45.0
1944	39.0
1945	47.0
1946	48.0
1947	41.0
1948	42.0
1949	48.0
1950	41.0
1951	48.0
1952	49.0
1953	43.0
1954	46.0
1955	47.0
1956	48.0
1957	49.0
1958	34.0
1959	45.0
1960	44.0
1961	35.0
1962	46.0
1963	27.0
1964	42.0
1965	35.0
1966	48.0
1967	41.0
1968	47.0
1969	47.0
1970	49.0
1971	42.0
1972	49.0
1973	49.0
1974	49.0
1975	46.0
1976	40.0
1977	49.0
1978	48.0
1979	31.0
1980	48.0
1981	49.0
1982	45.0
1983	38.0
1984	44.0
1985	48.0
1986	48.0
1987	43.0
1988	49.0
1989	47.0
1990	44.0
1991	49.0
1992	48.0
1993	45.0
1994	38.0
1995	48.0
1996	47.0
1997	49.0
1998	48.0
1999	46.0
2000	49.0
2001	45.0
2002	45.0
2003	30.0
2004	48.0
2005	48.0
2006	47.0
2007	47.0
2008	46.0
2009	43.0
2010	47.0
2011	42.0
2012	45.0
2013	49.0
