01-01-2015	Cold Day
01-02-2015	Cold Day
01-03-2015	Cold Day
02-01-2015	Cold Day
02-02-2015	Cold Day
02-03-2015	Cold Day
03-01-2015	Cold Day
03-02-2015	Cold Day
04-01-2015	Cold Day
04-02-2015	Cold Day
04-04-2015	Cold Day
05-01-2015	Cold Day
05-02-2015	Cold Day
06-01-2015	Cold Day
06-02-2015	Cold Day
06-03-2015	Cold Day
07-01-2015	Cold Day
07-02-2015	Cold Day
07-03-2015	Cold Day
08-01-2015	Cold Day
08-03-2015	Cold Day
08-06-2015	Cold Day
09-01-2015	Cold Day
09-03-2015	Cold Day
09-06-2015	Cold Day
10-01-2015	Cold Day
10-03-2015	Cold Day
11-01-2015	Cold Day
12-01-2015	Cold Day
12-02-2015	Cold Day
12-03-2015	Cold Day
13-01-2015	Cold Day
13-02-2015	Cold Day
13-06-2015	Cold Day
14-01-2015	Cold Day
15-01-2015	Cold Day
15-03-2015	Cold Day
15-06-2015	Cold Day
15-07-2015	Hot Day
16-01-2015	Cold Day
16-02-2015	Cold Day
17-01-2015	Cold Day
17-02-2015	Cold Day
17-06-2015	Cold Day
18-01-2015	Cold Day
18-02-2015	Cold Day
18-06-2015	Cold Day
19-01-2015	Cold Day
19-02-2015	Cold Day
20-01-2015	Cold Day
20-04-2015	Cold Day
21-01-2015	Cold Day
21-02-2015	Cold Day
22-01-2015	Cold Day
22-02-2015	Cold Day
23-01-2015	Cold Day
23-02-2015	Cold Day
24-01-2015	Cold Day
24-02-2015	Cold Day
25-01-2015	Cold Day
25-02-2015	Cold Day
26-01-2015	Cold Day
26-02-2015	Cold Day
27-02-2015	Cold Day
27-03-2015	Cold Day
28-02-2015	Cold Day
28-04-2015	Cold Day
29-01-2015	Cold Day
29-04-2015	Cold Day
30-01-2015	Cold Day
31-01-2015	Cold Day
